"gen","tier","elo","year","month","usage_link","team_link"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1500.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1500.txt"
"6","ubers",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1500.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1500.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1630.txt"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1630.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen4ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1760.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-0.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ou-0.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/ou-0.txt"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-1500.txt"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ou-1500.txt"
"6","ou",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1500.txt","https://www.smogon.com/stats/2014-11/metagame/ou-1500.txt"
"6","ou",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-1630.txt"
"6","ou",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ou-1630.txt"
"6","ou",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5ou-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-1760.txt"
